,player-1,player-2
0,Samiullah Shinwari,Dawlat Zadran
1,Mohammad Nabi,Yamin Ahmadzai
2,Mohammad Nabi,Naveen-ul-Haq
3,Mohammad Nabi,Karim Janat
4,Mohammad Nabi,Amir Hamza
5,Mohammad Nabi,Mirwais Ashraf
6,Najibullah Zadran,Dawlat Zadran
7,Amir Hamza,Dawlat Zadran
8,Dawlat Zadran,Javed Ahmadi
9,Mirwais Ashraf,Dawlat Zadran
10,Shapoor Zadran,Aftab Alam
11,Amir Hamza,Yamin Ahmadzai
12,Naveen-ul-Haq,Javed Ahmadi
13,Rashid Khan,Asghar Afghan
14,Rashid Khan,Amir Hamza
15,Rashid Khan,Gulbadin Naib
16,Rashid Khan,Fareed Ahmad
17,Aftab Alam,Asghar Afghan
18,Gulbadin Naib,Asghar Afghan
19,Javed Ahmadi,Mujeeb Ur Rahman
20,Amir Hamza,Karim Sadiq
21,Amir Hamza,Mirwais Ashraf
22,Aftab Alam,Hamid Hassan
23,Rahmat Shah,Aftab Alam
24,Aftab Alam,Mirwais Ashraf
25,Sharafuddin Ashraf,Javed Ahmadi
26,Fareed Ahmad,Gulbadin Naib
